System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes,succession_changes,succ_canon,L,D0,EDR,SAP,L_D0
San Xaro Networks,-10000,1800,Southern Africa (Kalahari),-23,21,Paleolithic,4.0,Hunter-gatherer gift economies enforcing reciprocity,Gift Exchange Democracy,San animism,Egalitarian,Foraging,Consensus,Colonialism,Ethnography,0.05,0.05,0.25,0.95,0.95,0.9,0.1,0.05,high,none,1,3,colonial enclosure,False,3,Maximum E and D case. The ridicule/levelling mechanism is explicit D. Hxaro exchange networks maintain alliance without hierarchy.,,consensus,0.1,0.95,0.9333333333333332,0.11666666666666665,0.095
Cucuteni-Trypillia Mega-Settlements,-5500,-2750,Ukraine/Moldova,47.7,29.1,Neolithic,5.0,Egalitarian burn-rotate proto-cities (15k population),Communal Proto-Democracy,Earth goddess cult,Matrilocal,Wheat/barley,Consensus,Drought,Archaeology,0.1,0.35,0.4,0.75,0.85,0.8,0.4,0.1,medium,community,3,2,climate,False,2,Deliberate burn-and-rebuild cycle is institutionalised R. No evidence of chiefs or administrative apparatus. Low P — prestige exists but not institutionalised competition. EDR corrected upward from auto-code.,,consensus,0.4,0.85,0.8000000000000002,0.2833333333333333,0.34
Sumerian Temple States,-3500,-2334,Mesopotamia,31.3,45.6,Bronze Age,5.0,Ziggurat-centered redistributive economies,Temple Communism,Sumerian polytheism,Male priests,Barley farming,Appointment,Akkadian conquest,Clay tablets,0.55,0.65,0.3,0.3,0.3,0.25,0.75,0.6,low,land/ritual,4,3,conquest,False,2,"Temple as redistributive hub (high L, rising A). Priests hold S via ritual monopoly not military. D low — temple obligations binding. Corrects auto-code which underweighted A and S.",,appointment,0.75,0.3,0.2833333333333333,0.5000000000000001,0.22499999999999998
Egyptian Nomarchies,-3150,-2686,Egypt,26.8,30.8,Bronze Age,5.0,Regional governors (nomarchs) under divine pharaoh,Precinct Feudalism,Kemetic polytheism,Male nobles,Wine/grain,Hereditary,Centralization,Rosetta Stone,0.6,0.65,0.3,0.25,0.2,0.2,0.75,0.5,none,land,4,3,transition,False,2,Nomarchs are delegated sovereignty under pharaoh — S is high but shared. A moderate via taxation records. E very low — land-bound peasantry. Predynastic period before full Old Kingdom lock-in.,rotation->hereditary (-2055): reconsolidation — Mentuhotep II reunifies; pharaonic hereditary restored; EDR partially suppressed again,hereditary,0.75,0.2,0.21666666666666667,0.5166666666666667,0.15000000000000002
Hittite Panku Council,-1650,-1200,Anatolia,39.7,34.8,Bronze Age,5.0,Assembly of nobles to depose kings (Telipinu Edict),Constitutional Oligarchy,Hittite polytheism,Male elders,Iron smelting,Elective,Sea Peoples,Cuneiform tablets,0.55,0.45,0.5,0.35,0.45,0.4,0.55,0.45,none,land/military,4,4,collapse/invasion,False,3,The Panku is an early institutional D mechanism — formal council with power to constrain the king. Bronze Age Collapse eliminates it.,,elective,0.55,0.45,0.4000000000000001,0.5,0.24750000000000003
Zhou Dynasty Mandate of Heaven,-1046,-256,China,34.7,113.6,Iron Age,5.0,Feudal decentralization under ritualized monarchy,Sacred Feudalism,Chinese folk religion,Male nobles,Millet/rice,Hereditary,Qin conquest,Bamboo Annals,0.5,0.4,0.45,0.3,0.35,0.35,0.65,0.45,low,land,4,4,conquest,False,2,Decentralised feudalism with genuine D mechanism: Mandate of Heaven legitimises overthrow of bad rulers. More D than auto-code suggests. Western Zhou more decentralised than Eastern.,,hereditary,0.65,0.35,0.3333333333333333,0.45,0.22749999999999998
Phoenician Merchant Oligarchies,-1000,-332,Levant,33.9,35.5,Iron Age,5.0,Harbor city-states ruled by purple-dye cartels,Plutocratic Republic,Phoenician polytheism,Male merchants,Cedar/purple dye,Elective,Alexander's conquest,Ancient historians,0.4,0.6,0.65,0.6,0.55,0.55,0.7,0.65,low,trade,3,2,conquest,False,2,"City-state merchants: high P (commercial competition), meaningful E (can relocate ships/capital), good A (trade records, contracts). Auto-code was close but E slightly high — exit possible but costly.",,elective,0.7,0.55,0.5666666666666667,0.5499999999999999,0.385
Andean Ayllu Systems,-1000,1532,Peru,-13.2,-72.2,Bronze Age,5.0,Kin-based labor reciprocity and terraced farming,Labor Communism,Andean animism,Gender-complementary,Potato/maize,Rotation,Spanish conquest,Archaeology,0.2,0.25,0.35,0.7,0.75,0.7,0.45,0.2,medium,clan,3,3,conquest,False,2,Ayllu is kin-based reciprocal labour — high EDR at community level. S low: no chiefs above ayllu level in pre-Inca form. Corrects auto-code which defaulted to mid values.,,rotation,0.45,0.75,0.7166666666666667,0.26666666666666666,0.3375
Assyrian Military Autocracy,-911,-609,Mesopotamia,36.4,43.1,Iron Age,5.0,Professional army enforces king's rule through terror,Military Despotism,Assyrian polytheism,Male soldiers,Tribute economy,Hereditary,Medo-Babylonian revolt,Cuneiform records,0.95,0.85,0.2,0.05,0.0,0.05,0.8,0.7,none,coercion,4,4,fragmentation,False,2,Near-maximum S. Systematic terror as policy instrument. D=0: refusal = death by impalement. Deportation policy eliminates E. Auto-code had A too low — Assyrian annals and census records are sophisticated.,,hereditary,0.8,0.0,0.03333333333333333,0.6666666666666666,0.0
Etruscan Lucumones,-700,-100,Italy,42.8,12.4,Iron Age,4.0,City-kings elected from oligarchic leagues,Elective Monarchy,Etruscan religion,Male aristocrats,Wine trade,Appointment,Roman assimilation,Archaeology,0.6,0.3,0.45,0.4,0.4,0.35,0.5,0.2,low,clan/ritual,3,2,absorption,False,2,,,appointment,0.5,0.4,0.3833333333333333,0.44999999999999996,0.2
